TIME SBOX, OCALLS SBOX
402235,10
707312,20
1701228,50
3381681,100
6676997,200
16689079,500
31847438,1000
62818208,2000
162715131,5000
336564525,10000
659916862,20000
1672441501,50000
3362206461,100000
6689681467,200000
16746383962,500000
33090181991,1000000
389961,10
716384,20
1721282,50
3416765,100
6763127,200
16938304,500
33245096,1000
64379144,2000
160694386,5000
323353525,10000
647365599,20000
1609894657,50000
3246999124,100000
6624271962,200000
16748249816,500000
33208221766,1000000
368401,10
679467,20
1641246,50
3231190,100
6440282,200
16070610,500
32113894,1000
64132341,2000
160261396,5000
326833395,10000
656425639,20000
1667777987,50000
3363492958,100000
6568246919,200000
16699748800,500000
33316920107,1000000
377652,10
702271,20
1695728,50
3369781,100
6694440,200
16678249,500
33317725,1000
66703547,2000
166578411,5000
333147316,10000
666541245,20000
1677055949,50000
3345250487,100000
6714152995,200000
16755026895,500000
33632764833,1000000
382781,10
706732,20
1703901,50
3367299,100
6708336,200
16710855,500
33464085,1000
66806721,2000
166984124,5000
333438243,10000
666049679,20000
1721111638,50000
3308306529,100000
6517367470,200000
16560438041,500000
33250582331,1000000
369127,10
680648,20
1643048,50
3250204,100
6465562,200
16098325,500
32143890,1000
64272269,2000
160597245,5000
321186442,10000
662524880,20000
1658975059,50000
3322705409,100000
6629612247,200000
16771614951,500000
33211925606,1000000
385046,10
707566,20
1704276,50
3383652,100
6736125,200
16818707,500
33447276,1000
66481833,2000
163704951,5000
329438449,10000
643447811,20000
1599858800,50000
3344027685,100000
6731416853,200000
16768806992,500000
33214719271,1000000
389321,10
712786,20
1755604,50
3432609,100
6810792,200
17062259,500
34384137,1000
68614439,2000
166024625,5000
325624803,10000
651786072,20000
1634214342,50000
3320367203,100000
6604968577,200000
16839344900,500000
33390247526,1000000
385074,10
711112,20
1721127,50
3403972,100
6793072,200
16885553,500
33794224,1000
67171153,2000
166986341,5000
334380208,10000
668761524,20000
1654139338,50000
3223108551,100000
6638745024,200000
16468447542,500000
33267704103,1000000
395576,10
738741,20
1795453,50
3545425,100
7062714,200
17595060,500
35153134,1000
70336704,2000
175718778,5000
352432625,10000
703972200,20000
1672726429,50000
3446454221,100000
6693039365,200000
16680112425,500000
33514239825,1000000
379290,10
705422,20
1697464,50
3381517,100
6714809,200
16743341,500
33507089,1000
66685806,2000
166866471,5000
333294711,10000
667402095,20000
1654351360,50000
3323545047,100000
6613159210,200000
16501443463,500000
32848743376,1000000
382448,10
698019,20
1682838,50
3389957,100
6675974,200
16525595,500
32875023,1000
65709057,2000
164118297,5000
330292666,10000
668697693,20000
1627477875,50000
3236226857,100000
6616009388,200000
16565221321,500000
33394280823,1000000
375568,10
686998,20
1660182,50
3292007,100
6524664,200
16270705,500
32500717,1000
64980525,2000
162424097,5000
324486914,10000
649728910,20000
1620519619,50000
3320706116,100000
6527381847,200000
16721481858,500000
33277036176,1000000
373035,10
683227,20
1645860,50
3258918,100
6476153,200
16135434,500
32208679,1000
64797311,2000
161235142,5000
327723460,10000
670198649,20000
1666361119,50000
3353657341,100000
6619341806,200000
16705866270,500000
33328410669,1000000
401573,10
708591,20
1708237,50
3372762,100
6705585,200
16779867,500
33411073,1000
66880234,2000
167285004,5000
334151965,10000
668494705,20000
1674213688,50000
3358593668,100000
6660721197,200000
16420919552,500000
33793833126,1000000
457475,10
778794,20
1729286,50
3364930,100
6543838,200
16196867,500
32262909,1000
64437721,2000
160786443,5000
321820984,10000
643873084,20000
1711817903,50000
3321379369,100000
6533744347,200000
16743661711,500000
33017199827,1000000
393337,10
719870,20
1739032,50
3444032,100
6821017,200
17041911,500
34056354,1000
67990843,2000
169279801,5000
337971601,10000
677220463,20000
1670086874,50000
3310923377,100000
6700193565,200000
16440616308,500000
32793851816,1000000
468289,10
804411,20
1757091,50
3398173,100
6621654,200
16374291,500
32613499,1000
65292982,2000
162780508,5000
322503521,10000
640425480,20000
1703892115,50000
3324922210,100000
6637904385,200000
16465485404,500000
33271578274,1000000
391672,10
720991,20
1734488,50
3436610,100
6832212,200
17001892,500
34055579,1000
67283879,2000
168435160,5000
336631357,10000
666793474,20000
1625922818,50000
3341751334,100000
6534972879,200000
16479603691,500000
32984990156,1000000
370672,10
683399,20
1647575,50
3267026,100
6512450,200
16234734,500
32399009,1000
64678588,2000
161553312,5000
323123241,10000
644785476,20000
1612814995,50000
3270656774,100000
6591057260,200000
16681155784,500000
33674066783,1000000

