TIME STD, OCALLS STD
186573,10
340719,20
826381,50
1564422,100
2883234,200
6787483,500
13533709,1000
29022581,2000
68282890,5000
134447963,10000
272341288,20000
675374911,50000
1371669280,100000
2782632488,200000
6866612946,500000
13593725421,1000000
160811,10
286685,20
688826,50
1371671,100
2713348,200
6761016,500
13508504,1000
27006774,2000
67557286,5000
134927642,10000
269339223,20000
679396880,50000
1348384851,100000
2694621710,200000
6740641533,500000
13503537387,1000000
162272,10
303563,20
707688,50
1402003,100
2967772,200
6959356,500
13934770,1000
27319469,2000
71597215,5000
134977415,10000
269414888,20000
673071283,50000
1347513899,100000
2691912131,200000
6733017725,500000
13472889868,1000000
159685,10
286100,20
689302,50
1360837,100
2723072,200
6748096,500
13469967,1000
26951227,2000
67319092,5000
134650427,10000
269215473,20000
672930894,50000
1346057178,100000
2690958254,200000
6753385570,500000
13476133340,1000000
160563,10
286753,20
690551,50
1377892,100
2708253,200
6754585,500
13499392,1000
27093695,2000
67473024,5000
134638094,10000
269416095,20000
671096076,50000
1344995148,100000
2695008420,200000
6754994135,500000
13468750523,1000000
159003,10
286491,20
689072,50
1359979,100
2726420,200
6760416,500
13496006,1000
26917839,2000
67205777,5000
134487826,10000
269020573,20000
673368963,50000
1346850095,100000
2698109770,200000
6742432720,500000
13476405546,1000000
158957,10
285173,20
688620,50
1360009,100
2709880,200
6725257,500
13498774,1000
26956420,2000
67349661,5000
134570613,10000
269377919,20000
673246094,50000
1345457544,100000
2696535532,200000
6729532975,500000
13472269262,1000000
160966,10
285335,20
696629,50
1360471,100
2702773,200
6768631,500
13437373,1000
26862394,2000
67067151,5000
134470359,10000
269513935,20000
673580608,50000
1346739900,100000
2698906878,200000
6743846051,500000
13465508714,1000000
159824,10
286011,20
690410,50
1360869,100
2706899,200
6762739,500
13511559,1000
26944378,2000
67355924,5000
134709695,10000
269395541,20000
673837577,50000
1353269172,100000
2691655656,200000
6738028644,500000
13461816635,1000000
158814,10
285664,20
688910,50
1362276,100
2706144,200
6791891,500
13512138,1000
26915932,2000
67384957,5000
134638937,10000
269306395,20000
678956862,50000
1346884179,100000
2692293091,200000
6734933594,500000
13448934254,1000000
158875,10
286324,20
690349,50
1360581,100
2705034,200
6738977,500
13467485,1000
26962464,2000
68734571,5000
136889863,10000
269501468,20000
673517917,50000
1347629453,100000
2702477006,200000
6741870663,500000
13500431839,1000000
161348,10
286431,20
688870,50
1356660,100
2702751,200
6755563,500
13530848,1000
26979285,2000
67336553,5000
134739293,10000
269237622,20000
673169502,50000
1346757543,100000
2694034073,200000
6746245679,500000
13495855219,1000000
160014,10
285797,20
689996,50
1361361,100
2709964,200
6788869,500
13515437,1000
26911858,2000
67327386,5000
134627084,10000
269393465,20000
672678194,50000
1348275877,100000
2691672372,200000
6778513711,500000
13555382870,1000000
161479,10
285999,20
687744,50
1357683,100
2704822,200
6765883,500
13515934,1000
26886774,2000
67262584,5000
134674489,10000
269426822,20000
672940540,50000
1347018262,100000
2708626068,200000
6737761074,500000
13505863402,1000000
159746,10
285900,20
689704,50
1363674,100
2714573,200
6779122,500
13502061,1000
27022969,2000
67502205,5000
135034209,10000
269867572,20000
672648233,50000
1347287801,100000
2709003989,200000
6740095452,500000
13502347591,1000000
161524,10
285902,20
703988,50
1360530,100
2696251,200
6735413,500
13452721,1000
26884258,2000
67213604,5000
134687390,10000
269236869,20000
673825179,50000
1344206392,100000
2708116130,200000
6770631728,500000
13485100115,1000000
159193,10
285629,20
690912,50
1364625,100
2706707,200
6741548,500
13497846,1000
26901316,2000
67338089,5000
135270036,10000
269314604,20000
674242316,50000
1363568433,100000
2692844272,200000
6757372428,500000
13455749198,1000000
161830,10
285737,20
689944,50
1369165,100
2717289,200
6749389,500
13451138,1000
26912847,2000
67286790,5000
134657259,10000
269352323,20000
690024066,50000
1347389226,100000
2694642070,200000
6739251337,500000
13503381925,1000000
162643,10
286060,20
689133,50
1366257,100
2705876,200
6770342,500
13462761,1000
26974323,2000
67644097,5000
134629441,10000
269412654,20000
673671690,50000
1435150344,100000
2716900641,200000
6738612533,500000
13686957237,1000000
160339,10
287575,20
688178,50
1362600,100
2708683,200
6750544,500
13483323,1000
27020039,2000
67407394,5000
134609089,10000
269462617,20000
674513042,50000
1346914876,100000
2693889827,200000
6746742697,500000
13511833962,1000000

